	vertex	degree	eigenvector	betweenness			
650	old town albuquerque	31	0.031	198.296			
651	BALTIMORE SUN	15	0.017	24.146			
652	arma patch	3	0.002	0			
653	patch knife	8	0.012	58.724			
654	vichy france map	20	0.028	24.235			
655	schucks auto parts store	21	0.021	602.046			
656	mountain view california map	22	0.022	471.856			
657	giants fan	7	0.007	0.61			
658	free cip art	7	0.003	9.654			
659	art people	7	0.003	9.654			
660	arson fat burner reviews	32	0.025	663.298			
661	pulsar star	15	0.019	47.143			
662	c&m auto sales	26	0.018	786.558			
663	aryanpour dictionary online	1	0	0			
664	steak express	1	0	0			
665	oreo truffle recipe	7	0	50.757			
666	easy roast chicken recipe	18	0.001	2432.686			
667	cuban flan recipe	15	0.006	2153.333			
668	butter cookie recipe	19	0.004	2079.779			
669	Assisted living facilities	3	0	1438			
670	living in a loveless marriage	1	0	0			
671	assumption school in san leandro	4	0	0			
672	Wyoming Public Schools	23	0.001	143.089			
673	Curriculum Exchange Intermediate School	20	0.003	3687.768			
674	valley forge towers north	7	0.008	106.627			
675	uk phone directory	10	0.014	8.035			
676	the office nbc pennsylvania city	10	0.012	9.046			
677	surfboard hacker	7	0.013	0			
678	sheraton manhattan times square	5	0.01	0			
679	sf ferry building	3	0.005	0			
680	puma clothing accessories & shoes	9	0.013	182.97			
681	paintball rifle	13	0.015	13.832			
682	old winchester shotguns	3	0.006	0			
683	no shelter lyrics	1	0.002	0			
684	new orleans radio station	1	0.002	0			
685	mirror's edge cheats	7	0.008	4.07			
686	khan obgyn dover	6	0.008	25.809			
687	keene colonial theater	1	0.002	0			
688	hyvee grocery store	30	0.025	4434.614			
689	dodge magnum engine	17	0.016	728.99			
690	dodge city paintball	25	0.018	1173.891			
691	condos for rent in florida	11	0.011	14.422			
692	carrier thermostat	10	0.014	1017.05			
693	baton rouge hotels	28	0.022	4495.209			
694	philadelphia style magazine	9	0.012	3.268			
695	San Jose Animal Shelter	2	0.002	0			
696	oakland flea market	10	0.017	7.871			
697	flower memorial library	12	0.013	123.552			
698	Muncie Public Library	9	0.012	25.036			
699	silver mountain winery	8	0.009	145.851			
700	hard disk dvd recorder	40	0.031	5444.901			
701	Hearst Castle	4	0.006	0			
702	www mobile d	16	0.022	152.768			
703	Georgia child support	12	0.015	606.458			
704	FRANKLIN HOSPITAL	10	0.015	0			
705	FORD THEATER	15	0.021	13.189			
706	Displays Fabric Displays Modular Displays Truss	7	0.006	7.359			
707	frank kent motor company	20	0.014	541.759			
708	department store makeup lawsuit	35	0.028	2406.766			
709	jessica simpson daisy duke picture	27	0.029	1598.367			
710	circuit breaker program	13	0.017	21.293			
711	DOUGLAS TIRES	9	0.013	0			
712	wamu theatre at madison square garden	8	0.012	99.854			
713	Bozeman Daily Chronicle	4	0.006	0			
714	sheet music for flute	9	0.004	1555.013			
715	red mountain resort	14	0.013	276.021			
716	attend this years events	1	0	0			
717	polaris plow mount	4	0.002	24.992			
718	wolf auto group	3	0.001	0.2			
719	trojan auto parts michigan	2	0.001	0			
720	autozone houston	1	0	0			
721	average waist size	2	0	0			
722	ed hardy plus size clothes	26	0.015	5905.929			
723	avery research center	8	0.001	157.451			
724	hoover service center	12	0.001	517.794			
725	celebration center	8	0.001	14.631			
726	Troy Sports Center	8	0.002	432.074			
727	Condell Medical Center	4	0	0			
728	avgfree edition	1	0	0			
729	ymca camp greenville	3	0.003	0			
730	map of south carolina counties and cities	2	0.003	0.114			
731	karachi pakistan map	2	0.003	0.114			
732	free room layout design	7	0.004	709			
733	Post Office Nearest	12	0.009	22.689			
734	Pearl Jam lyrics	8	0.007	4.347			
735	www.good day sacramento	1	0.002	0			
736	wedding flower centerpiece	3	0.002	1.042			
737	walmart hours new years day	1	0.002	0			
738	valentimes day	5	0.002	0			
739	thuy top's blog	5	0.006	9.209			
740	sky pigeon	4	0.005	0.287			
741	secret shopper scams	1	0.002	0			
742	rachelle ray	1	0.002	0			
743	portuguese lady	2	0.003	0			
744	places to go on valentine's day	11	0.005	928.605			
745	pay per view boxing margarito	2	0.002	0			
746	nebraska golden sower	1	0.002	0			
747	naf pay website	2	0.002	0			
748	mother goose rhymes	2	0.003	0			
749	mod be	7	0.007	3105.985			
750	mercer raceway	3	0.006	0			
751	jay leno guests	1	0.002	0			
752	inaugural day schedule	12	0.003	1024.663			
753	groundhog day	6	0.002	0			
754	graco baby einstein exersaucer	1	0.002	0			
755	free lab tops	4	0.004	4.264			
756	free family guy porn clips	10	0.006	1709.807			
757	flower logos	3	0.002	0			
758	entry way	5	0.003	24.585			
759	dueche bag	3	0.004	0			
760	day thi.net	1	0.002	0			
761	cartoon of the day	12	0.003	1722.902			
762	captain planet	8	0.008	1441.244			
763	border collie poodle mix	30	0.028	1337.818			
764	bluetooth pass key	9	0.006	97.134			
765	bb king.com	3	0.003	7.867			
766	bank rapsy	1	0.002	0			
767	watch pay per view free	6	0.006	42.094			
768	The Perfect Dog	8	0.009	0			
769	Racheal Ray Show	4	0.002	8.373			
770	marine officer mos	7	0.006	112.423			
771	beef pepper steak	12	0.008	1477.373			
772	Ocean Pointe Suites at Key Largo	9	0.008	21.602			
773	Scott County	25	0.011	728.047			
774	Monroe County Beacon	20	0.008	284.231			
775	sealy mattress co	12	0.015	20.358			
776	he is just not into you book	30	0.029	376.256			
777	goodnight mr tom	33	0.029	185.454			
778	ed hardy helmet	6	0.006	7.269			
779	scott reich attorney	9	0.009	147.138			
780	paul harvey riddle	11	0.013	60.827			
781	monroe lotus notes	10	0.009	67.494			
782	meredith emerson	7	0.009	0			
783	jacob the liar	13	0.013	74.13			
784	gran patron	13	0.011	40.265			
785	did heath ledger finish batman	17	0.014	1816.167			
786	blueberry pomegranate	9	0.007	0.269			
787	Fry Daddy	10	0.008	12.586			
788	Frank sinatra	20	0.017	103.544			
789	david blade	12	0.009	328.683			
790	Children Place	17	0.017	1869.146			
791	shepard center	7	0.003	4711.06			
792	wow workout world	7	0.008	1484.831			
793	super bowl pregame show	2	0.002	2.544			
794	Brook White	5	0.003	0.833			
795	free online adding machine calculator	7	0.004	1585.171			
796	lyre bird	3	0.002	1.157			
797	berlin game	9	0.003	56.648			
798	texas wic office locations	7	0.009	5.825			
799	texas aquifers	4	0.004	0			
800	target stores san antonio texas	4	0.004	0			
801	social security texas	4	0.004	0			
802	scary places in texas	4	0.004	0			
803	mexia texas newspaper	6	0.007	0.142			
804	coyote track	5	0.003	2.922			
805	new haven school district	11	0.002	35.686			
806	crete monee school district	12	0.003	35.686			
807	creighton school district	12	0.003	35.686			
808	corry school district	12	0.003	35.686			
809	chippewa local school district	12	0.003	35.686			
810	Grossmont Union High School District	28	0.006	1449.976			
811	bagel calorie	1	0	0			
812	baked brie cheese recipes	1	0	0			
813	baking tools and their uses	1	0	0			
814	bamboo window blinds	1	0	0			
815	banana paper making	12	0.003	858.08			
816	what is a essay paper	2	0	0			
817	scrapbooking and card making	4	0.002	24.834			
818	japanese rice paper	17	0.005	3975.015			
819	free prayer shawl pattern	8	0.004	66.276			
820	place making	5	0.001	12.344			
821	banda m s	73	0.031	1317.491			
822	yamaha v star accessories	7	0.009	0.527			
823	xxx l	13	0.009	7.573			
824	word that start with q	20	0.013	1130.895			
825	wb store	12	0.013	171.731			
826	sinonimos en ingles	5	0.005	0			
827	sc arts commission	11	0.01	5.017			
828	sa's club	13	0.008	1248.913			
829	nissan gtr vs corvette	6	0.007	0			
830	nissan gt r price	5	0.005	0			
831	mr rourke fantasy island	7	0.009	5.008			
832	mail yandex ru	8	0.01	2.834			
833	lexapro vs effexor	4	0.003	0			
834	laser x	9	0.011	0.088			
835	judo gi	21	0.013	183.01			
836	j crew children	23	0.013	42.744			
837	j beats	14	0.009	4.332			
838	irs schedule se	29	0.017	3149.561			
839	ip tracking software	22	0.012	4796.482			
840	how to tune to drop c	16	0.013	7.595			
841	florida a&m basketball	19	0.011	2360.775			
842	el omega	23	0.014	275.646			
843	dell mx	27	0.022	118.816			
844	coventry cu	25	0.014	522.891			
845	color k	24	0.015	55.593			
846	malcolm x community college	17	0.009	632.226			
847	f&a fcu credit union	38	0.016	1726.378			
848	david z shoes new york	44	0.024	6020.82			
849	Regulation R	18	0.012	32.984			
850	MV Longchamp	9	0.006	1.782			
851	LOUD N CLEAR	16	0.012	11.562			
852	pc management	8	0.008	481.944			
853	Project Risk Management	13	0.001	3065.923			
854	jobs in latin america	4	0.001	0			
855	gold prospectors association of america	7	0.002	1473.811			
856	banks that don't use chex systems	2	0	0			
857	baptist doctrines	1	0	0			
858	bare behind bars	1	0	0			
859	barry u	3	0.003	0			
860	basal lamina	1	0	0			
861	round table pizza prices	2	0	2874			
862	beach flowers	4	0.001	0.409			
863	sunny beach bulgaria	8	0.01	235.32			
864	bear creek glass	2	0	0			
865	sea foam	2	0.001	0.395			
866	cedar garden apartments	4	0.003	1.918			
867	sea viper	7	0.006	41.669			
868	gander mountain firearms	9	0.002	3.715			
869	blue mountain coffee	9	0.002	3.715			
870	Mountain Ranges	8	0.002	1.708			
871	too many fish in the sea dating	8	0.007	36.613			
872	beat the pussy up	2	0	0			
873	eating puss	2	0	0			
874	beauty encounter coupons	2	0	0			
875	beauty of math	4	0	1438			
876	death map	19	0.013	2031.513			
877	beckley police department	16	0.003	4868.477			
878	texas department of corrections employment	3	0	2874			
879	salem police	1	0	0			
880	oklahoma department of corrections	2	0	0			
881	south carolina state department of education	10	0.008	242.384			
882	plymouth police department	7	0.001	13.479			
883 f	lorida department of corrections inmate population search	17	0.002	3015.338			
884	lake city community church	20	0.008	1900.896			
885	community action agency	26	0.003	3859.216			
886	corned beef cabbage	2	0	0			
887	beer potomania	1	0	0			
888	behavioral health center	5	0	24.448			
889	south county mental health	5	0.002	118.406			
890	belagios pizza	3	0	1438			
891	piccolos pizza	1	0	0			
892	bell sensplex	1	0.001	0			
893	bellsouth net	4	0.001	0.352			
894	fuck net	4	0.001	0.352			
895	beowulf poem	3	0	1438			
896	free lesbian poems	2	0	0			
897	Berjaya Redang Beach Resort	5	0.002	0.247			
898	bermuda marathon	1	0	0			
899	berserker enchant	1	0	0			
900	best blender review	1	0	0			
901	best crossword puzzle	2	0	0			
902	crossword puzzle solutions	2	0	0			
903	best energy stocks	3	0	0			
904	iowa energy	6	0.003	630.687			
905	clean coal energy	8	0.003	2250.297			
906	best gps deals	4	0.003	2.969			
907	best love novels	2	0	0			
908	seasons of love chords	1	0	0			
909	best professional digital camera	1	0	0			
910	best walking shoes for babies	1	0	0			
911	best western danville va	7	0.009	0.331			
912	bg pop folk	1	0	0			
913	bianca's handcuff page	3	0.002	0			
914	bible glossary	1	0	0			
915	lone star title loans	3	0.001	201.619			
916	how to greet chinese new year	2	0	0			
917	bible verses for strength	1	0	0			
918	big black bubble butt	1	0	0			
919	big breast teens	1	0	0			
920	big green help . com	4	0.001	139.732			
921	no help	2	0	0			
922	big n rich lyrics	20	0.015	40.158			
923	where is incheon kr	8	0.007	0			
924	the sims castaway ds	9	0.008	36.98			
925	la sports	8	0.008	2.491			
926	james clayton md	19	0.013	23.116			
927	I CALY	19	0.012	17.945			
928	Biggest Loser Cookbook	2	0.001	0			
929	bikram yoga nashua nh	12	0.012	11.39			
930	billings gazette online site	5	0.004	0.759			
931	billy squier the stroke lyrics	1	0	0			
932	birthday cake coloring sheet	3	0	8.909			
933	BIRTHDAY WORLD	1	0	0			
934	bixby community center	5	0	0.585			
935	rogue community college	13	0.003	1043.5			
936	Southwest Tennessee Community College	25	0.005	3485.625			
937	black cats game	10	0	84.485			
938	yahoo twist text game	3	0	0.85			
939	orgon trail game	3	0	0.85			
940	care service from Microsoft	21	0.002	1759.448			
941	storage units for sale	5	0.001	91.935			
942	black jack betting	1	0	0			
943	blackberry calendar software	6	0	0			
944	free advertising software	7	0	41.608			
945	debut software	6	0	0			
946	Music notation software	8	0	125.397			
947	blacks leisure	1	0	0			
948	blair gossip girl	1	0	0			
949	blind lifehouse	1	0	0			
950	blue mustang	1	0	0			
951	Blue Ridge Communications	4	0	27.944			
952	wack job	1	0.001	0			
953	vancrest nursing home	3	0.003	5.736			
954	tux painting for kids	3	0.003	0			
955	tom boonen	2	0.002	0			
956	still of the night tab	1	0.001	0			
957	sacamento bee	1	0.001	0			
958	rob lowe pictures	1	0.001	0			
959	richard todd	1	0.001	0			
960	rhe melting pot	1	0.001	0			
961	playstation home update	2	0.002	0			
962	petta todd	1	0.001	0			
963	lakeport record bee	2	0.001	0			
964	jaelyn fox freeones	2	0.002	0			
965	how to make wow macros	7	0.001	877.645			
966	hot tub decks	3	0.002	0			
967	heath tax	9	0.003	83.395			
968	green tie	4	0.005	0			
969	god quotes	2	0.001	0			
970	fox la.com	2	0.002	0			
971	electric pop	4	0.001	0			
972	el sol de zamora.com	2	0.002	4.01			
973	don pablo's	3	0.003	0			
974	cool mom	8	0.004	36.945			
975	bon ton resort langkawi	7	0.004	8.963			
976	yates funeral home coeur d'alene idaho	5	0.005	18.818			
977	edu web tv malaysia	29	0.029	85.257			
978	dish network tv listings	29	0.023	910.619			
979	Get Low	4	0.003	11.62			
980	Bob Fosse	4	0.002	0.681			
981	teaching business english	3	0	0			
982	examples of different kinds of business letter	4	0	0			
983	world quest	1	0	0			
984	complete nora roberts book list	12	0.005	340.572			
985	catalase test	4	0.001	0			
986	coraline the book summary	7	0.005	42.908			
987	toledo bend realty	1	0	0			
988	selena song lyrics	1	0	0			
989	new spm song	1	0	0			
990	how to patent a song	3	0	0			
991	flint stone	9	0.005	1464.836			
992	download kids song	5	0.001	222.47			
993	mix restaurant	7	0.009	60.19			
994	curry college milton	6	0.001	280.346			
995	boston comedy clubs	6	0.003	1.692			
996	boston tide chart	9	0.005	64.57			
997	botswana gazette	3	0.004	0			
998	painesville city	6	0.007	0			
999	kentucky citys	5	0.005	0			
1000	jamestown city court	14	0.009	581.497			
1001	what to do in new york city	12	0.011	3145.039			
1002	us airways stock	10	0.016	0.09			
1003	the william carter company shelton ct	11	0.017	28.399			
1004	NY LOTTERY	27	0.027	50.679			
1005	bourbonnais il	9	0.012	2.195			
1006	boxing salvador sanchez	2	0.002	0			
1007	nacca home	3	0.001	0			
1008	mobile home supplies florida	3	0.001	0			
1009	how to clean diamonds at home	11	0.005	351.848			
1010	branson mo things to do	5	0.001	0.233			
1011	how do you get dry bowser in mario kart wii	8	0.001	3201.381			
1012	do running	5	0.001	0.233			
1013	brass hardware	4	0.001	5.224			
1014	hardware firewall	3	0.001	0			
1015	breaking benjamin phobia	1	0	0			
1016	breast gain plus	3	0	0			
1017	free printable gain coupon	4	0	19.687			
1018	brewton alabama zip code	24	0.015	463.763			
1019	carmel valley zip code	20	0.013	153.681			
1020	switzerland postal code	6	0.003	9.412			
1021	search html code	14	0.005	852.798			
1022	holland country code	19	0.008	402.266			
1023	Idaho Code	9	0.003	8.607			
1024	brief introduction	1	0	0			
1025	Bringing Professional Women Together Online	4	0.002	5.606			
1026	bristol chamber	1	0	0			
1027	broken heart quotes	2	0	0			
1028	heart parts	2	0	0			
1029	brookland baptist church	1	0	0			
1030	brothers in arms hell's highway	1	0	0			
1031	browser refresher	1	0	0			
1032	buddhist sanskrit symbols	1	0	0			
1033	Buena Vista Winery	1	0	0			
1034	BUREAU OF INDIAN AFFAIRS	1	0	0			
1035	busty grannies	1	0	0			
1036	yahoo uk ireland games	4	0.008	0			
1037	psychology book club	5	0.003	633.141			
1038	pics of rock bands	1	0.002	0			
1039	peanut butter recall?	2	0.002	0			
1040	once on this island	2	0.002	0			
1041	manal kitchen recipes	2	0.004	0			
1042	kitchen company	4	0.005	0.535			
1043	john lobb bootmaker	3	0.002	0			
1044	delta dental of rhode island	2	0.002	0			
1045	John Black	4	0.003	6.726			
1046	chicken teriyaki sauce	12	0	253.935			
1047	buxom beauties	1	0	0			
1048	buy cheap fireworks online	6	0	0.25			
1049	where to buy ipecac syrup	4	0	0			
1050	where to buy dragon fruit	4	0	0			
1051	buy plane ticket	11	0.004	7461.658			
1052	buy obama sneakers	6	0	0.25			
1053	buy keytar	6	0	0.25			
1054	no contract cell phone plans	3	0.001	11.632			
1055	look up family tree	4	0.001	4.089			
1056	Cake decorating	4	0.002	0			
1057	cal pump	1	0	0			
1058	calculate ups rates	1	0	0			
1059	"calendar ""Chinese New Year"	2	0	0			
1060	When is Chinese New Year?	2	0	0			
1061	california mission san francisco de solano	2	0.001	0			
1062	california repo laws vehicle	6	0.005	0			
1063	crime scene clean up training	18	0.002	3518.055			
1064	Price of Gold	3	0	1438			
1065	north carolina board of occupational therapy	3	0.002	3.883			
1066	jefferson county real estate	25	0.011	213.78			
1067	springfield regional school of nursing	9	0.001	106.201			
1068	cambell ford	1	0	0			
1069	indiana county snow emergencies	16	0.004	64.822			
1070	cameron diaz hairstyle	1	0	0			
1071	camping mattresses	1	0	0			
1072	can you watch tv online	6	0.005	1438.098			
1073	what to watch	1	0	0			
1074	canada drug stores	3	0	0			
1075	herpes drug	3	0	0			
1076	drug sites	3	0	0			
1077	canada revenue agency jobs	5	0.001	1486.384			
1078	guam dept of revenue and taxation	2	0	0			
1079	canadian cancer society lottery	9	0.001	3095.529			
1080	style career	4	0.001	79.077			
1081	past texas lotto results texas lottery results	2	0	1438			
1082	navy marine corps relief society san diego	3	0	103.675			
1083	canasta cards	1	0	0			
1084	canby ford	1	0	0			
1085	cancelled spelling	1	0	0			
1086	cancer deaths	1	0	0			
1087	cash america	4	0.001	22.654			
1088	candle brands	1	0	0			
1089	cape may realty	4	0.001	6.637			
1090	the cape	2	0.001	0			
1091	single parent travel	1	0	0			
1092	capital of indiana	3	0	1438			
1093	what is the capital of china	1	0	0			
1094	planet bleach	1	0	0			
1095	captive insect	1	0	0			
1096	valet parking services	1	0.001	0			
1097	oscar best picture list	8	0.006	129.205			
1098	global warming picture	4	0.003	0.729			
1099	mark mudd jr	7	0.009	7.944			
1100	Watch Warning Advisory Summary	14	0.005	3084.72			
1101	CARD READERS	1	0	0			
1102	what to say in a sympathy card	2	0.001	0			
1103	the cave that talked	1	0.001	0			
1104	smu football camp	2	0.001	3.864			
1105	premier card	2	0.001	0			
1106	novy cas sk	2	0.001	0			
1107	make a card for free	5	0.001	279.216			
1108	government waste	3	0.001	0			
1109	electronic greeting card	5	0.001	4.704			
1110	civil service exam books	20	0.001	7625.622			
1111	metropark clothing	1	0.001	0			
1112	famous stars and stripes clothing	3	0.001	0			
1113	carrier builder jobs	3	0	1.048			
1114	sharmusic store	4	0.003	0			
1115	old forge sport tours	2	0.002	24.498			
1116	controling high blood pressure	6	0	163.946			
1117	my horoscope for today	3	0	1438			
1118	catalog of things that need to be invented	5	0.001	1940.038			
1119	when will i get my taxes back	5	0	143.972			
1120	requirements to be a teacher	2	0	2.845			
1121	cathay cineleisure singapore	8	0.008	0.127			
1122	catholic globe	1	0	0			
1123	causes of gout joints swelling	1	0	0			
1124	cawthra park secondary school	5	0.003	6.826			
1125	wic ny	5	0.01	0			
1126	la palabra viva	8	0.01	0.031			
1127	celeb blow jobs	1	0	0			
1128	CELEBRITY SMACK	1	0	0			
1129	walmarts phone number	1	0.001	0			
1130	global tell	2	0.001	0			
1131	custom photo birth announcements	5	0.003	13.389			
1132	cell porn	6	0.002	0			
1133	quick loans no credit check	11	0.001	0.82			
1134	eloan line of credit	24	0.003	1957.293			
1135	central cyanosis	1	0	0			
1136	central valley jobs	4	0.001	0.891			
1137	valley med	2	0.001	0			
1138	cervical cyst	1	0	0			
1139	channel13eyewitnessnews houston	7	0.005	1.692			
1140	charter communications employment opportunities	3	0	1438			
1141	virgina employment	1	0	0			
1142	WALMART GIFT CARDS	2	0	0			
1143	chateau lemoyne new orleans	1	0	0			
1144	yellowstone volcano	1	0	0			
1145	tunica mississippi	1	0	0			
1146	palm pilot desktop software download	11	0.007	2572.366			
1147	Stoney River	1	0	0			
1148	Cumberland River	3	0.001	0			
1149	cheap auto insurance online	2	0	0			
1150	cheap big johnson t-shirts	1	0	0			
1151	CHEAP CAMCORDERS	1	0	0			
1152	cheap fitness clothes	2	0	0			
1153	windsor life	1	0	0			
1154	travis schuldt official site	2	0.003	0			
1155	hilton tmtp site	2	0.003	0			
1156	cheats for naruto ultimate ninja heroes	1	0	0			
1157	cheerleader dad commercial	1	0	0			
1158	chef software	4	0	0			
1159	the pink palace	2	0.002	0			
1160	chenille socks	1	0	0			
1161	chevy crossover vehicles	2	0	0			
1162	rhodes frozen bread dough	4	0	6.549			
1163	poppy seed chicken	5	0	0			
1164	jamaican chicken curry	7	0	37.427			
1165	food pyramid diet	20	0.004	5919.346			
1166	chocolate chicken	11	0	652.399			
1167	child learning	2	0	0			
1168	the problem child	2	0.001	0			
1169	langham place	1	0	0			
1170	jack place	11	0.006	410.418			
1171	wedding restaurant	3	0.002	1.013			
1172	tuckers st louis restaurant	2	0.001	0			
1173	gusto's restaurant	6	0.003	3.841			
1174	china motorcycles	1	0	0			
1175	chinese symbol meanings	1	0	0			
1176	gold rush chicken	3	0	0			
1177	chocolate rice crispy treats	7	0	16.345			
1178	chop off	2	0.001	0			
1179	CHRIS BROWN PICTURES	1	0	0			
1180	Christian Tattoos	1	0	0			
1181	Christmas poems	1	0	0			
1182	chrome country	4	0	0			
1183	k105 country	3	0	0			
1184	country images	4	0	0			
1185	country couches	4	0	0			
1186	chrome rims for cars	1	0	0			
1187	church of jacksonville	5	0.002	2.302			
1188	church of the atonement chicago	6	0.001	12.507			
1189	free easter plays for church drama	6	0.001	65.563			
1190	cincinnati clerk of courts	13	0.012	35.998			
1191	Hillsborough County Clerk of Court	20	0.006	292.357			
1192	citizen soldier national guard	2	0	0			
1193	mo guard	1	0	0			
1194	weather in milan	3	0.002	542.245			
1195	us fault lines	5	0.01	0			
1196	unity magazine	2	0.002	16.384			
1197	rockford raleigh	1	0.002	0			
1198	old chicago nutrition	2	0.004	0			
1199	national weather service tulsa	5	0.003	802.152			
1200	making it better	2	0.004	0			
1201	linkdomain:mail.google.com site:dmoz.org	1	0.002	0			
1202	jeddah weather	11	0.004	2460.475			
1203	framing hanley hear me now	9	0.012	1.137			
1204	former yugoslav republic of macedonia	3	0.003	1.151			
1205	dmvlv nv	7	0.011	0.331			
1206	concord steel	3	0.002	1438			
1207	ciurt city	2	0.003	0			
1208	city of victorville ca	2	0.003	0			
1209	city of osceola	2	0.003	0			
1210	city of lynwood jobs	2	0.003	0			
1211	addison	3	0.006	0			
1212	MCKINNEY	3	0.006	0			
1213	Saturn of Wausau	2	0.002	0			
1214	Honda Mall of Georgia	9	0.009	2.573			
1215	the times news hendersonville nc	7	0.013	0			
1216	texas wic online classes	1	0.001	0			
1217	texas hold em free online	1	0.001	0			
1218	service gov	1	0	0			
1219	faa medical exam	2	0	0			
1220	discount foam	4	0	2875			
1221	rivers edge golf course	6	0	75.638			
1222	lpga international golf course	6	0	75.638			
1223	great white shark kayak	5	0.002	0.119			
1224	classic lotto numbers	2	0	0			
1225	classroom central	1	0	0			
1226	clavier arabe google	1	0	0			
1227	energy assistance programs	2	0	0			
1228	cleaner image	1	0	0			
1229	cleaning brushes	1	0	0			
1230	click on detroit	1	0	0			
1231	vintage skateboards for sale	1	0.001	0			
1232	used chevy pickup trucks for sale	1	0.001	0			
1233	usa mobility pager	2	0.002	0			
1234	closing restaurants	1	0	0			
1235	imported adult diapers	2	0.001	0			
1236	elvis costume	2	0.001	0			
1237	club palladium	9	0.001	1491.12			
1238	scores night club	1	0	0			
1239	fuller's club	6	0.001	1438.278			
1240	dance club songs	8	0.001	1481.162			
1241	rivas restaurant	1	0.001	0			
1242	pompei restaurant	1	0.001	0			
1243	fanatico restaurant	1	0.001	0			
1244	cnc plasma table	1	0	0			
1245	coast guard myspace layouts	2	0	0			
1246	Cobb Community Transit	3	0	0			
1247	official payment corp	3	0.002	80.855			
1248	discount sectional sofa	2	0.002	0			
1249	cool signatures	2	0.002	0			
1250	cocos japan	1	0	0			
1251	history and origin of basketball	8	0	1173.971			
1252	list of college colors and mascots	9	0.002	413.02			
1253	combat handguns	1	0	0			
1254	commercial outdoor lighting	2	0	0			
1255	outdoor shoes	1	0	0			
1256	neoseeker action replay codes	1	0	0			
1257	mauser action	2	0.001	33.503			
1258	light camera action	1	0	0			
1259	the colony little league	4	0	187.939			
1260	portage community schools	9	0.001	68.89			
1261	compressor surge	1	0	0			
1262	computer freeze up	3	0	0			
1263	hooking computer up to tv	6	0.001	126.565			
1264	comunity college of philadelphia	3	0	0			
1265	conan o'brien tonight show	1	0	0			
1266	concord autoplex irving	1	0	0			
1267	steel rolling	1	0	0			
1268	con-crete creatine	1	0	0			
1269	conditioning exercises	1	0	0			
1270	contact point border collies	2	0.001	0			
1271	continental divide colorado	3	0.001	2874			
1272	filing bankruptcy in colorado	3	0	1438			
1273	gunshot victims spurting blood	3	0	0			
1274	converting decimal to binary	1	0	0			
1275	COOKIE JAR	1	0	0			
1276	super mario kart online game	1	0	0			
1277	free scrabble online game	8	0	1556.237			
1278	cooking light search recipes	4	0	2875			
1279	www.zaba search	1	0	0			
1280	vancouver wa mls search	1	0	0			
1281	natick ma	5	0.005	35.541			
1282	golds gym salem ma	11	0.009	57.925			
1283	cordless hair straighteners	1	0	0			
1284	corvette tops	1	0	0			
1285	Cosmetics Settlement	1	0	0			
1286	cotton slippers	1	0	0			
1287	CRAIGSLIST NEW HAMPSHIRE	1	0	0			
1288	crain chevrolet little rock	1	0	0			
1289	crawfish shack	1	0	0			
1290	you tube line rider	3	0	16.128			
1291	hcg in urine	7	0.003	78.566			
1292	d drive	19	0.014	288.11			
1293	credco instant merge credit report	15	0.002	39.798			
1294	cricket most first class centuries	1	0	0			
1295	registered nurse training	1	0	0			
1296	philadelphia phillies spring training schedule	4	0	58.415			
1297	online personal training	1	0	0			
1298	crochet bathing suits patterns	1	0	0			
1299	currency exchange	3	0	0			
1300	social exchange theory relationship	2	0	0			
1301	current white house staff	4	0.002	100.574			
1302	oc court house	3	0	40.181			
1303	starting an after school program	12	0.001	1129.046			
1304	is there school tomorrow?	15	0.001	27.388			
1305	gear up program high school	19	0.001	1369.591			
1306	curvy bodies	1	0	0			
1307	custom slipcovers	1	0	0			
1308	cvs coupon	4	0.001	139.363			
1309	cyberlink power dvd update	3	0.002	1.074			
1310	daily nigger	1	0	0			
1311	orangeburg county	4	0.002	0			
1312	thurston county sheriff	5	0.002	0			
1313	hancock county ohio humane society	16	0.005	128.046			
1314	southwestern yacht club	1	0	0			
1315	data released today	2	0	0			
1316	Data were collected	1	0	0			
1317	David Dudley Field	2	0.001	0			
1318	rooster illusion	1	0.001	0			
1319	peaks of otter lodge	1	0.001	0			
1320	michael zimmerman	1	0	0			
1321	michael cheney	1	0	0			
1322	nicole miller new york	2	0	0			
1323	new mexico work connection	3	0.002	130.522			
1324	davids salon in the philippines	1	0	0			
1325	daycare logos	1	0	0			
1326	decorative music notes	7	0	0			
1327	hous music	7	0	0			
1328	free metal music	11	0.003	2394.415			
1329	free instrumental gospel music	12	0.001	1701.233			
1330	ferret music	7	0	0			
1331	dedicated micros.com	1	0	0			
1332	define desolate	1	0	0			
1333	definition of anatomical	7	0	0.75			
1334	vision definition	4	0	0			
1335	reprieve definition	4	0	0			
1336	punitive definition	4	0	0			
1337	inauguration definition	9	0	2875.75			
1338	definition of peered	7	0	0.75			
1339	demi moore plastic surgery pictures	1	0	0			
1340	demo stores	1	0	0			
1341	demon tweeks motorcycle	2	0	0			
1342	menards employee schedule	3	0	2.306			
1343	the contractors school	6	0	0			
1344	st joseph high school	1	0	0			
1345	schenectady christian school	6	0	0			
1346	morristown west high school	6	0	0			
1347	memorial high school victoria tx	6	0	0			
1348	james caldwell high school	12	0	2.458			
1349	high school speeches	12	0	2.458			
1350	PRINCIPAL BUSINESS CODES	8	0.001	180.998			
1351	uk met office weather forecast	3	0.003	28.171			
